sample_id,risk_score,risk_group,z_CLCN5,z_ARHGEF5,z_ITGB2,z_TRIM32,z_SAT1,z_ACOX2
BA2593R,0.316359738442512,high_risk,1.89130719651779,-0.327596222503781,-0.247684017616715,-0.104421061046654,0.849191671929868,0.0545039942499222
BA2440R,0.315219354182989,high_risk,0.800454938294196,0.602623217731698,0.51402574783684,0.225751795758723,0.771011737399931,-0.0838836039926751
BA2914R,0.31482891851088,high_risk,0.402527088326246,0.543291965086856,1.25067483076339,0.657445526791653,0.622733079731905,-0.705640319463146
BA2089R,0.314656210365125,high_risk,0.167856018645359,0.00494169570768201,1.60819708326682,1.31981747799802,-0.279601957803272,2.73415832645821
BA2814R,0.313176190130395,high_risk,1.46975606085248,-0.871966491995993,1.20892846436015,0.679815081372416,-0.287827590120656,0.664378096262286
BA2521R,0.312505188847611,high_risk,1.25559900647018,-0.216172336571503,0.932246493421108,1.07862407613626,-0.586975835142879,-0.451578760457043
BA3149R,0.309513457181871,high_risk,0.378662799938866,0.692938138235509,0.504626630957969,0.0736136155580175,1.47711250457292,1.10749632521217
BA2292R,0.309307284874397,high_risk,1.98147868548782,0.426241956319471,-0.991419603697806,-0.158307351148135,0.405715187032965,-0.37763090701736
BA2655R,0.306064535229934,high_risk,1.33622332590316,0.599911690084993,-0.0926392705622669,0.328164229183091,-0.108918344196312,-0.144093033923244
BA3427R,0.305158571463063,high_risk,0.0582456418887159,0.578199442663102,0.874998606237847,0.924210716675689,1.11674806532153,0.579851840713039
BA2758R,0.303776667227907,high_risk,0.915386477025384,-0.45357083484931,0.985455686110585,0.713300457394204,0.46184815824083,1.14542177394214
BA2023R,0.30291060656215,high_risk,1.25341766829067,-0.864331333481984,0.89379067591829,0.502578592061483,0.528207320717638,1.43872330946679
BA3311R,0.298669954349807,high_risk,0.724055313747583,0.0848211825630946,1.1373638951605,0.430403460265772,0.761747568672585,-0.803938264527038
BA2858R,0.297898409298993,high_risk,0.885788758002127,0.200268576801992,0.684778896765664,-0.151331912740393,1.22353994181448,-0.158337245365297
BA2705R,0.295101319718884,high_risk,-0.527799376627621,1.75648440133677,0.14009481307195,0.934595095197624,1.39088911243149,0.908212243819243
BA3446R,0.294221379413867,high_risk,0.222654369895075,0.711840831356535,0.919295191170588,0.459857584287706,0.847948960642399,0.315005962797311
BA3326R,0.292425707936475,high_risk,0.947044701186191,-0.264107061431912,0.985455686110585,0.116072004395521,0.174229094470191,2.34322269752199
BA2691R,0.290817993864491,high_risk,1.38362836513108,-0.784959771131628,0.596673327199026,-0.0768779212933743,0.96309088318147,1.43835819401512
BA3399R,0.290814917275988,high_risk,-0.426666441176038,1.77071617521084,0.499951318631543,-0.454862821404749,2.15627254466543,1.08844979395944
BA3352R,0.290362752383266,high_risk,0.910477344509902,0.983858637599977,-1.28107167848297,1.38273877814699,0.819735631512324,-1.02750064766576
BA2003R,0.288179491145612,high_risk,0.307121935135382,1.13919887296989,-0.45973500722528,0.782521888133654,1.42449596340972,-0.0451978808924876
BA2827R,0.288068338153456,high_risk,1.14382263709759,0.341839558580354,0.820250620919901,0.334526900236686,-0.522109631478038,-0.644207373949139
BA2450R,0.286589129631291,high_risk,0.163289097911707,1.94654202512702,-0.404678487347035,1.54529639732955,-0.542906212667949,-0.371963505931433
BA2824R,0.28507413114851,high_risk,0.320582712832793,2.08268031604822,-0.414422404338523,1.72338765363236,-1.33317840080665,-0.713966783081306
BA2125R,0.284311872567096,high_risk,1.27685008075317,-0.319296777335287,0.499951318631543,1.02033311986065,-0.586975835142879,0.570512465470153
BA2244R,0.28373681768084,high_risk,0.459227940565739,0.541192306920791,1.37639567736924,0.763571884738286,-0.892817174455986,0.902057907461813
BA2497R,0.283255151563529,high_risk,0.985206255761577,-1.01076479080014,1.1528938186015,0.692364361979552,0.145887321926243,2.81024493968344
BA2220R,0.280684759914575,high_risk,2.09814979343986,0.512010358844783,-0.857317926069718,0.215226060544721,-1.33508497840735,0.0789066172227017
BA3003R,0.277751142244332,high_risk,1.05630915407722,0.262453888701502,0.695542615656668,0.766080158849683,-0.705572374775465,-0.506684288112746
BA2363R,0.275062799038942,high_risk,0.972868460505054,-0.204706378474245,0.58171431682253,0.267636525663747,0.716506847261284,0.567745789778356
BA2201R,0.274923818819601,high_risk,0.842205787692881,-0.313828896141712,0.632244597868076,1.2920786862201,-0.398323052046607,1.54445538852943
BA2133R,0.274474638878826,high_risk,-0.317801979705318,0.793089865099818,0.745111054368412,0.668831302380767,1.98714005113746,-0.00574654732303728
BA3299R,0.271950040834004,high_risk,0.396618387847612,-0.129187305663218,1.20892846436015,0.223347475456015,1.51379930952565,-0.0391976450492096
BA3421R,0.271400370192157,high_risk,0.340871341111484,0.802455876976639,0.89379067591829,-0.673764923827169,1.63286141629375,-0.288233561255508
BA2787R,0.271009148497451,high_risk,0.230923597443047,1.04339659733347,1.06989343154901,-1.29469542351878,1.72123233129029,0.56870144751093
BA2934R,0.270013465124531,high_risk,-0.137889705244027,0.697884521931155,0.808399367590415,0.692364361979552,1.51379930952565,-0.137827786434438
BA2735R,0.267952763933124,high_risk,0.0345687606534358,1.91576966260868,-0.958702362140079,1.17315627237991,0.838043165806804,-0.45581973049545
BA2040R,0.26765680319787,high_risk,0.375569039549813,0.629228233315522,1.06262693101529,-0.562673929496065,1.25202050493154,0.170649000654797
BA2480R,0.266532708527811,high_risk,1.15074222433836,0.447672670222644,-0.342094429712855,1.05515190302451,-0.291922833949042,-0.737803302123713
