gene_symbol,direction_in_PRFT_high,log2FC,FDR,rank,used_for_CMap,source_DEG_file,comment
EPB41L3,upregulated_in_PRFT_high,1.62968539160653,0.00196776524055151,60,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CT45A1,upregulated_in_PRFT_high,1.62495733761027,0.00652701028887816,61,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
HOXA5,upregulated_in_PRFT_high,1.62141753541835,0.0187791805640858,62,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
PLA2G16,upregulated_in_PRFT_high,1.61489585672281,7.66321291572453e-05,63,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
FBN2,upregulated_in_PRFT_high,1.61427348302594,0.00170269926848433,64,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
LGALS12,upregulated_in_PRFT_high,1.60661407377708,0.000378766775507075,65,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
MARVELD2,upregulated_in_PRFT_high,1.60628460304732,5.24067846246875e-06,66,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
METTL7B,upregulated_in_PRFT_high,1.60472562149159,0.000418316584228036,67,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
EREG,upregulated_in_PRFT_high,1.60140330125636,0.0131481703535251,68,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
PPBP,upregulated_in_PRFT_high,1.60055449077788,0.00294736143811115,69,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
PRKCDBP,upregulated_in_PRFT_high,1.59842131782946,7.872230859888e-05,70,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SPOCK1,upregulated_in_PRFT_high,1.59545056134724,0.000109984041368332,71,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
S100A8,upregulated_in_PRFT_high,1.59510225875436,0.0100696279391874,72,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
FCN1,upregulated_in_PRFT_high,1.59492745255282,0.0022408428471734,73,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
AIM2,upregulated_in_PRFT_high,1.59098986901899,1.0730464860147e-07,74,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CPVL,upregulated_in_PRFT_high,1.59084484095164,0.000199701036260384,75,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SRGAP1,upregulated_in_PRFT_high,1.58885899492116,1.32424121399747e-06,76,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
LRG1,upregulated_in_PRFT_high,1.57770295375569,3.27837798416765e-06,77,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CA2,upregulated_in_PRFT_high,1.57539321037157,2.02413359547523e-06,78,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
NFAM1,upregulated_in_PRFT_high,1.56918892007486,0.000199735489983068,79,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
C6orf97,upregulated_in_PRFT_high,1.56524244854318,7.22395726124031e-05,80,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
GLDN,upregulated_in_PRFT_high,1.56452435177761,0.000206157566248224,81,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CD36,upregulated_in_PRFT_high,1.56202256081265,0.000192914099432487,82,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CDA,upregulated_in_PRFT_high,1.55621058540499,0.00171967267271254,83,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SEMA3C,upregulated_in_PRFT_high,1.55561463512431,0.00195223922752567,84,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
S100A9,upregulated_in_PRFT_high,1.55220057471267,0.0123142481089929,85,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
MPV17L,upregulated_in_PRFT_high,1.55218225073511,0.000253487245818772,86,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
TMTC1,upregulated_in_PRFT_high,1.54578477679765,0.000107160590473411,87,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SERPINB2,upregulated_in_PRFT_high,1.54099792836141,0.0047468141892877,88,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
CTSH,upregulated_in_PRFT_high,1.53149851643948,1.81569955174378e-06,89,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
KCNE1,upregulated_in_PRFT_high,1.52555414327721,0.000307710946105265,90,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SHROOM4,upregulated_in_PRFT_high,1.52185942261429,0.00412029810702377,91,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SLC2A10,upregulated_in_PRFT_high,1.51372665062818,0.000141220908175821,92,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
MNDA,upregulated_in_PRFT_high,1.51260902165198,9.52765095880482e-05,93,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
COL29A1,upregulated_in_PRFT_high,1.50386279069768,0.00106129109167373,94,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
DTNA,upregulated_in_PRFT_high,1.4985163058006,0.00978498761089216,95,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
SAGE1,upregulated_in_PRFT_high,1.49843495054799,0.00927441402943996,96,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
ARHGEF10L,upregulated_in_PRFT_high,1.4851866479551,0.0190072668477367,97,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
NLRP12,upregulated_in_PRFT_high,1.4840174552259,0.00171479269120873,98,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
THAP10,upregulated_in_PRFT_high,1.4832721464849,0.000148037595810883,99,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
BASP1,upregulated_in_PRFT_high,1.48024859663193,0.000397806711724211,100,yes,E:\ai助手\AML_PRFT_Human_Genomics_phase0_audit\03_results_tables\05_deg\deg_prft_high_vs_low_tcga_all.csv,Filtered from existing DEG table with FDR < 0.05; no DEG rerun.
