check_item,category,file_path,status,sha256,required,notes
Supplementary Table S10,supplementary_table,supplementary_tables/Supplementary_Table_S10__phase5_consensus_hub_genes.csv,present,4283f464477db7e2b17f3afd180a477acb046863cc53ab5d43eddb549d473f83,true,
Supplementary Table S10,supplementary_table,supplementary_tables/Supplementary_Table_S10__phase5_FS12_PPI_top20.csv,present,a3d80952990262b5533052484599f53f7c78ae4f92d52f991fd206f27a2e8db5,true,
Supplementary Table S10,supplementary_table,supplementary_tables/Supplementary_Table_S10_part1.csv,present,4283f464477db7e2b17f3afd180a477acb046863cc53ab5d43eddb549d473f83,true,
Supplementary Table S10,supplementary_table,supplementary_tables/Supplementary_Table_S10_part2.csv,present,a3d80952990262b5533052484599f53f7c78ae4f92d52f991fd206f27a2e8db5,true,
Supplementary Table S11,supplementary_table,supplementary_tables/Supplementary_Table_S11__phase3C_BeatAML_drug_correlation_all.csv,present,7302ee6a1bc29b110b0d241c951ad85874c63c439a416086ff1faafc72e89c60,true,
Supplementary Table S11,supplementary_table,supplementary_tables/Supplementary_Table_S11__phase3C_fix_main_vs_supplement_recommendation.csv,present,0b1bd500f35ac6c655bc06ec6ca4496d0cbb02248575fe67a975de75af51d4b8,true,
Supplementary Table S11,supplementary_table,supplementary_tables/Supplementary_Table_S11_part1.csv,present,7302ee6a1bc29b110b0d241c951ad85874c63c439a416086ff1faafc72e89c60,true,
Supplementary Table S11,supplementary_table,supplementary_tables/Supplementary_Table_S11_part2.csv,present,0b1bd500f35ac6c655bc06ec6ca4496d0cbb02248575fe67a975de75af51d4b8,true,
Supplementary Table S12,supplementary_table,supplementary_tables/Supplementary_Table_S12__phase4b_mixed_effect_models.csv,present,cbad236df7fb2aad13b562a04c28f8f65893297dc83800f6d37cffc8d05343a7,true,
Supplementary Table S12,supplementary_table,supplementary_tables/Supplementary_Table_S12__phase4b_patient_celltype_pseudobulk_scores.csv,present,f56db75777c66e1735f11f02d0bf46e24b9807921db34144add4d5bfd63ea168,true,
Supplementary Table S12,supplementary_table,supplementary_tables/Supplementary_Table_S12_part1.csv,present,f56db75777c66e1735f11f02d0bf46e24b9807921db34144add4d5bfd63ea168,true,
Supplementary Table S12,supplementary_table,supplementary_tables/Supplementary_Table_S12_part2.csv,present,cbad236df7fb2aad13b562a04c28f8f65893297dc83800f6d37cffc8d05343a7,true,
Supplementary Table S13,supplementary_table,supplementary_tables/Supplementary_Table_S13__phase7_cleanup_main_signature_pathway_summary.csv,present,c5e9c9e702109adf3fd17e1167c122097f875296b99f111545979c4ad9081dd6,true,
Supplementary Table S13,supplementary_table,supplementary_tables/Supplementary_Table_S13__phase7_pathway_cross_cohort_consistency.csv,present,0d6d4ebe1e210955ba6acc4950eed723fe21115a8fc4b8acefab0493891eab8d,true,
