planned_combination_id,algorithm,package,package_available,package_note,feature_strategy,planned_gene_count,planned_genes,feature_set_available
M057,Stepwise Cox,MASS,TRUE,primary package available,FS06_unicox_top20,20,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM,TRUE
M058,SuperPC,superpc,TRUE,primary package available,FS06_unicox_top20,20,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM,TRUE
M059,Survival-SVM,survivalsvm,TRUE,primary package available,FS06_unicox_top20,20,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM,TRUE
M060,plsRcox,plsRcox,FALSE,package unavailable: plsRcox,FS06_unicox_top20,20,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3;HOXB6;FGR;ACOX2;CTSD;ITGAM,TRUE
M061,CoxBoost,CoxBoost,TRUE,primary package available,FS07_unicox_top15,15,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3,TRUE
M062,Elastic Net-Cox,glmnet,TRUE,primary package available,FS07_unicox_top15,15,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3,TRUE
M063,GBM-Cox,gbm,TRUE,primary package available,FS07_unicox_top15,15,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3,TRUE
M064,LASSO-Cox,glmnet,TRUE,primary package available,FS07_unicox_top15,15,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3,TRUE
M065,Random Survival Forest,randomForestSRC_or_ranger,TRUE,randomForestSRC used,FS07_unicox_top15,15,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3,TRUE
M066,Ridge-Cox,glmnet,TRUE,primary package available,FS07_unicox_top15,15,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3,TRUE
M067,Stepwise Cox,MASS,TRUE,primary package available,FS07_unicox_top15,15,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3,TRUE
M068,SuperPC,superpc,TRUE,primary package available,FS07_unicox_top15,15,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3,TRUE
M069,Survival-SVM,survivalsvm,TRUE,primary package available,FS07_unicox_top15,15,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3,TRUE
M070,plsRcox,plsRcox,FALSE,package unavailable: plsRcox,FS07_unicox_top15,15,CLCN5;ITGB2;MYO7A;KCNE1;BCL2L11;ARHGEF5;THBS1;TRIM32;PMM1;VDR;SAT1;HOXB5;SLC8A1;FTH1;SEL1L3,TRUE
