module_color,gene_symbol,GS_PRFT,GS_PRFT_P,MM,MM_P,logFC,P.Value,adj.P.Val,module_cor_with_PRFT,module_P,module_FDR,selection_type
tan,DMXL2,0.340472861225863,4.57374221149702e-06,0.566724753140116,4.37993972793764e-16,0.843171063886679,0.000321043673439795,0.00396023991404371,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
blue,PTPRJ,0.338708961337616,5.15968164362949e-06,0.796249857357115,3.61867390345108e-39,0.929060986367297,4.02545701089684e-05,0.000928731903215903,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
magenta,NRG4,0.338650086610856,5.18041732056735e-06,0.664719286609261,2.0236817447216e-23,0.831078201015782,0.0015282699971463,0.0121593088850978,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
blue,LDLRAD3,0.338566798024955,5.20988667621319e-06,0.453314775558049,3.7799125356729e-10,1.73224925153703,1.18805742106107e-05,0.000404412168066067,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
magenta,FAM188B,0.338340556451447,5.29074111372889e-06,0.478726960686867,2.69867349443402e-11,0.667520181769588,0.00283964842031607,0.0188681757373914,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
tan,GLT25D2,0.337822857937536,5.48025980872544e-06,0.53964370908705,1.84400759433403e-14,1.01751455493185,0.000829688542106522,0.00782075969785337,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
tan,MS4A3,0.337367057193972,5.6524348730745e-06,0.718009262498627,1.03778696729561e-28,1.23432324244856,0.00304341580690707,0.0198782994966061,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
red,C2orf81,0.336498318148879,5.99490340312644e-06,0.494822568612687,4.51649086179762e-12,0.533598329323715,0.0042628081512421,0.0249745100027953,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
red,TMEM149,0.336212927693799,6.11163920642152e-06,0.762619067857509,3.53084575942833e-34,0.540720181769593,0.000261692371429305,0.00340906380607975,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,PID1,0.336186771206146,6.12244541404562e-06,0.649117975421726,4.52271570337048e-22,1.06088857257418,0.000889587219570466,0.00821667802806401,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
magenta,NKX2-3,0.33489550079995,6.67902852562706e-06,0.773040758114094,1.24143425148663e-35,1.65775344827588,0.00367662158211185,0.0226024574335968,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
magenta,OR2A7,0.334808800503582,6.71806889638582e-06,0.537287762921385,2.51347368439974e-14,0.927509970596105,0.000213508836075001,0.00294926942245862,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
blue,ZBTB38,0.334602260786073,6.81194536616673e-06,0.504655833309808,1.4460405303844e-12,0.761339628441609,9.38955031819038e-06,0.000343201738232264,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,MT1G,0.334576880791315,6.8235665175097e-06,0.384781180941584,1.72304894553436e-07,1.24019879711308,4.65868442065128e-05,0.00102567339806245,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,CRTAM,0.334572712574238,6.82547688295889e-06,0.632571646883642,1.00658778227802e-20,0.76889993317296,0.000684122959255488,0.00683235764443115,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,CDK20,0.334358228362297,6.92446591266988e-06,0.32382014026751,1.38646871791917e-05,0.799908941459512,0.00135140477800179,0.0111086653017928,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
magenta,HOXB6,0.334226421220389,6.98597127335095e-06,0.722221770927909,3.5129814466185e-29,1.65510765838013,0.00420105508757695,0.0247591299212738,0.414517419373002,1.43006744926059e-08,6.43530352167264e-08,FDR_significant
blue,RBM47,0.334108634818273,7.04137198371712e-06,0.915872583009872,1.11428972742489e-69,1.42426276396687,5.76373452963384e-05,0.0011882418521419,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,PADI2,0.333973471461468,7.10545907195019e-06,0.728988789316662,5.90937405770569e-30,1.21103162256082,0.000371116088204478,0.00438812138464893,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,MYOF,0.333967937754688,7.10809459960941e-06,0.824144023749334,4.45775453240649e-44,1.71872123763701,0.000104547673640127,0.00180744896447536,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
red,LPPR2,0.333907456220248,7.13696049838799e-06,0.776889914094184,3.44492984743508e-36,0.563154557604948,0.000112901108351829,0.00190310865121135,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
blue,VDR,0.333785847009514,7.19533734763715e-06,0.821602969767998,1.35325556754198e-43,0.923480914194081,0.000322028399951022,0.00396327576241502,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,ISL2,0.333140056985527,7.51300025188426e-06,0.514417156874829,4.50069508273352e-13,0.51161964715317,0.00344575667551888,0.0215993751781443,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,FEZ1,0.332792996915561,7.68916407400716e-06,0.559576476969406,1.21507330404788e-15,1.06349161988774,0.00022674312881961,0.0030795185114721,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
blue,TNFRSF9,0.332654925783276,7.76032999356238e-06,0.550026962591343,4.57367863896069e-15,0.886404116546384,4.11573672590963e-05,0.000941368507029438,0.344614990611556,3.43615584443668e-06,1.23701610399721e-05,FDR_significant
tan,TP53INP2,0.332404270584294,7.8911229154405e-06,0.430325585923724,3.43837129484442e-09,0.868500320769865,0.000525820418806906,0.00563669906812141,0.426235973348544,5.00679688589554e-09,3.00407813153733e-08,FDR_significant
red,KIAA1755,0.332291125707416,7.95084414590233e-06,0.292685055495254,9.31849529637914e-05,0.668207163859934,0.000750728392718783,0.00729566921246173,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
red,IRS2,0.331493476937311,8.38418019264733e-06,0.564547059372616,5.99236317500228e-16,0.670045910184452,0.000403456989960389,0.00463938569273937,0.428421740736908,4.09827454971985e-09,3.00407813153733e-08,FDR_significant
