gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation,ranking_metric,neg_log10_adjP
LETM1,0.0877069232825569,10.3958046242775,1.66096490177486,0.0985296784235442,0.225553042277125,-4.97653193355817,Not_significant,1.00643293463754,0.646751310728731
NISCH,0.148576009088504,11.6546046242775,1.66079558297317,0.0985637428878555,0.225603586590588,-4.97680114375278,Not_significant,1.00628281284323,0.646654000326464
ROPN1B,-0.26827699812884,1.16408497109827,-1.6606663380631,0.0985897514548092,0.22563220079507,-4.97700662017353,Not_significant,-1.00616822824291,0.646598920514646
PGRMC2,0.108750628174306,9.52258497109827,1.66061433944249,0.0986002169432769,0.22563220079507,-4.9770892843674,Not_significant,1.00612212950945,0.646598920514646
SLC4A5,-0.162108727612926,8.29763641618497,-1.6603843153382,0.0986465234168042,0.225710727701218,-4.97745493242865,Not_significant,-1.00591821591106,0.646447799049293
ZNF347,-0.244703902699797,7.62868034682081,-1.65978815337025,0.0987666191357129,0.225958050390212,-4.978402367889,Not_significant,-1.00538981224166,0.645972181096384
PTP4A2,0.0922402699813034,11.4495832369942,1.65969360913383,0.0987856757079491,0.225974183925925,-4.97855258970012,Not_significant,1.0053060251695,0.645941173325728
PEX5,-0.112664314354435,8.85883757225434,-1.65949276568041,0.0988261680411589,0.22603934230945,-4.97887168339101,Not_significant,-1.00512804396367,0.645815965007975
MGMT,0.371294226142751,6.3419225433526,1.65908876396628,0.098907659879094,0.226198249248459,-4.97951343528158,Not_significant,1.00477007327235,0.645510760792862
PRRG2,-0.247230713712907,2.70204219653179,-1.65884190277477,0.0989574812732759,0.226284697216733,-4.97990549690892,Not_significant,-1.00455136716873,0.645344814755146
KLHDC1,-0.182594025661579,7.39325549132948,-1.65816136941161,0.0990949307852864,0.226571477845528,-4.9809860185123,Not_significant,-1.00394856134002,0.644794762583573
LRRC10B,0.234163886661322,0.649900578034682,1.65799342597561,0.0991288744941141,0.226621561024679,-4.98125260587002,Not_significant,1.00379982475853,0.644698773252033
TMEM33,0.120669232825467,10.6932601156069,1.6578473481691,0.0991584064649562,0.226661547455536,-4.98148446326669,Not_significant,1.00367046122085,0.644622150558656
RBM27,-0.116042047580843,10.477101734104,-1.65755545786681,0.0992174379837901,0.226723561144506,-4.98194769773516,Not_significant,-1.00341199161014,0.644503345584343
ZNF473,0.113162563485709,8.38956531791908,1.657528623812,0.0992228662879672,0.226723561144506,-4.98199027983736,Not_significant,1.00338823149185,0.644503345584343
ARAP1,0.187653568564569,11.7848086705202,1.65752463848209,0.0992236725071624,0.226723561144506,-4.98199660397285,Not_significant,1.0033847027173,0.644503345584343
SUMO3,0.115158166265729,10.8637514450867,1.65739428101583,0.0992500463029551,0.226723561144506,-4.98220345408761,Not_significant,1.00326928195413,0.644503345584343
SYNGR4,-0.194271758887996,0.778445664739884,-1.65724685631882,0.0992798799229228,0.226723561144506,-4.98243736736781,Not_significant,-1.00313875677971,0.644503345584343
ATP2B1,-0.183110665597413,10.7960433526012,-1.65724381648279,0.0992804951557181,0.226723561144506,-4.98244219035064,Not_significant,-1.00313606548536,0.644503345584343
MON1B,0.100236420743125,10.2489393063584,1.65723898743292,0.0992814725140366,0.226723561144506,-4.98244985207016,Not_significant,1.00313179013163,0.644503345584343
KAZALD1,0.42806742849506,2.25180462427746,1.65723692017698,0.0992818909112922,0.226723561144506,-4.98245313194996,Not_significant,1.00312995990861,0.644503345584343
MTL5,-0.171231876503594,9.05446242774567,-1.65716507194256,0.0992964333424304,0.226729265070101,-4.98256712291007,Not_significant,-1.00306635077471,0.644492419713921
EIF1AX,-0.122849933172933,10.5875641618497,-1.65693611783106,0.0993427862019002,0.226807593385636,-4.98293033860989,Not_significant,-1.00286366379779,0.644342409610363
CDO1,0.358866105319435,1.24181907514451,1.65673345866268,0.099383830052072,0.226873783276765,-4.98325179915821,Not_significant,1.00268427043584,0.644215686733218
OCIAD2,-0.269374953221054,7.1252549132948,-1.65609509118051,0.09951320558427,0.227141576563392,-4.98426413705203,Not_significant,-1.00211928375848,0.643703364153642
C15orf40,-0.0980382785351379,7.08762774566474,-1.65602567029458,0.0995272830203587,0.22714616580689,-4.98437420353295,Not_significant,-1.00205785150551,0.643694589613009
MSRA,0.140168190323461,7.65335664739884,1.65551047393621,0.0996318066154524,0.227357149682298,-4.98519090534495,Not_significant,1.00160199458401,0.643291384019918
DNAJC10,0.114341406041186,11.2173988439306,1.65510705891337,0.099713713533958,0.227516478007664,-4.98583023697451,Not_significant,1.00124510946603,0.64298714384799
C17orf108,-0.170298102111721,6.1185936416185,-1.65492241348544,0.099751220880576,0.227574473622102,-4.98612281251389,Not_significant,-1.00108178016801,0.642876453115197
