feature_set,interpretation_class,algorithm,rank,gene_symbol,importance,mean_abs_shap,importance_sd,explanation_method
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,16,ACOX2,0.0600099644618314,0.0600099644618314,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,17,ITGAM,4.00962309542674e-05,,6.45610654289458e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,17,THBS1,0.0399591709740158,0.0399591709740158,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,18,SEL1L3,2.67308206361783e-05,,5.63535179571696e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,18,ITGAM,0.0395277254498763,0.0395277254498763,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,19,TNFSF12-TNFSF13,2.67308206361783e-05,,5.63535179571696e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,19,NINJ1,0.0376708512248288,0.0376708512248288,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,20,SAT1,2.67308206361561e-05,,0.000105427778367608,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,20,SLC8A1,0.0356370607294099,0.0356370607294099,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,21,KCNE1,1.3365410318078e-05,,7.5868245415317e-05,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,21,CCL22,0.0346465989371299,0.0346465989371299,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,22,FTH1,0,,0,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,22,HOXB5,0.027311147960452,0.027311147960452,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,23,HOXB5,0,,0,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,23,KCNQ1,0.0192776254534377,0.0192776254534377,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,24,HOXB6,0,,0,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,24,KIAA0513,0.0169807061057732,0.0169807061057732,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,25,KCNQ1,0,,0,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,25,PMM1,0.0167493770851867,0.0167493770851867,,xgboost_predcontrib_SHAP
FS-E_33_intersect_phase3A_recurrent,independent-like,Random Forest,26,KIAA0513,0,,0,permutation_importance_fallback
FS-E_33_intersect_phase3A_recurrent,independent-like,XGBoost,26,KCNE1,0.0150654281145016,0.0150654281145016,,xgboost_predcontrib_SHAP
