gene_symbol,module_color
ADCY4,red
PTX3,red
HRH3,magenta
PIGR,blue
PTGS2,blue
CTAGE4,magenta
KLHL30,blue
APOA2,blue
PPP4R1L,blue
BATF2,blue
HRASLS5,tan
PRSS36,red
TUBB6,red
TNFSF12-TNFSF13,red
SLC22A7,blue
PVRL4,red
P2RY2,tan
CCDC151,blue
TFEB,blue
HCK,blue
LRG1,tan
MRGPRF,tan
HOXB9,magenta
PDCD1LG2,blue
PHLDA2,red
SIGLEC14,blue
LILRA2,blue
LOC400931,magenta
NUAK2,blue
ABCA9,blue
CDC42BPB,red
TLE1,tan
IPCEF1,blue
PDLIM4,red
TP53I11,blue
S100A6,blue
HSPB7,blue
CAMSAP1L1,blue
CDKN2B,blue
ARSG,blue
MEIS3P1,blue
CHGB,magenta
CRYBB1,magenta
MAPRE3,red
GNA14,blue
AATK,blue
ITIH1,blue
NRIP3,tan
GCNT2,blue
CECR1,blue
CNTN1,magenta
GPR109A,tan
C5orf32,red
JPH4,blue
FAM151B,blue
HIP1,blue
SCN4B,blue
SIGLEC16,blue
GUCY2C,blue
FEZ1,blue
FAM179A,red
SRGAP1,blue
FCRLB,blue
STAR,tan
CTTNBP2NL,blue
SLC46A2,blue
CYB5R2,blue
BLVRA,blue
MICALCL,blue
TNFSF14,blue
ITGB2,blue
IFNK,blue
ALPK2,blue
DLX4,red
C22orf26,magenta
DRD5,red
SLC35E4,red
ABCA5,magenta
LST1,blue
LOC728392,blue
GGTLC2,red
RRAS,blue
CCR3,blue
SULT1B1,blue
RAB23,magenta
TNFSF10,blue
OAS1,blue
NEK10,magenta
S100A11,red
TNFRSF9,blue
HEYL,magenta
BATF3,blue
MKX,blue
MUC12,red
KLF11,blue
GADD45G,red
ENTPD2,magenta
GPT2,tan
SH3TC1,blue
CSF1R,blue
ZFP36L1,blue
RNF175,blue
AMDHD1,red
UPP1,red
LDHD,red
C16orf45,blue
SIRPB2,red
IRS2,red
PRUNE2,blue
TXNDC2,blue
BST1,blue
PLXNC1,blue
SLC40A1,magenta
DAPL1,magenta
